Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirements;Triggers
~;~;#barryandjerry;Barry: Hey kid I'm Barry, Mr. Flake's right hand man, and this is-;~;~
~;~;#barryandjerry;Jerry: I'm Jerry, left hand man. ;~;~
~;~;#barryandjerry;Jerry: We're lookin' for a guy named Eli. ;~;~
~;~;#barryandjerry;Barry: He's known for his bright blue eyes-;~;~
~;~;#barryandjerry;Jerry: Hard to miss. He's the only person in the town with those eyes.;~;~
~;~;#barryandjerry;Barry: You haven't seen this guy? At all? Alright then!;~;~
~;#boot;#haveboot;Barry: What's that?;~;#barryandjerrysecond
~;~;#haveboot;Jerry: Shit, that's Eli's shoe!;~;~
~;~;#haveboot;Barry: Take that to Mr. Flake. He'll give you a reward for that.;~;~
~;#boot;#haveboot_repeat;Barry: What are you still doing here! Take that shoe to Mr. Flake!;#detective;~
~;~;#barryandjerrysecond;Barry: We are employees of an honest business man named Mr. Flake. ;#detective;~
~;~;#barryandjerrysecond;Jerry: Who's Mr. Flake? Wow, you never heard of him before?;~;~
~;~;#barryandjerrysecond;Jerry: Look at this kid Barry, hahaha. You really don't know Mr. Flake?;~;~
~;~;#barryandjerrysecond;Barry: He's the richest person in the town!;~;~
~;~;#barryandjerrysecond;Barry: Anyways, that's not important right now. Have you seen the man with the blue eyes?;~;~
~;~;#barryandjerrysecond;Jerry: Our boss wants him.;~;~
~;~;#barryandjerrysecond;Barry: If you are hiding him or not telling us his whereabouts, you'll be sorry.;~;~
~;~;#barryandjerrysecond;Jerry: You've been warned. If you do see him, come find us and we'll reward you handsomely.;~;~
#detective;~;#barryandjerrythird;Jerry: Was the boss happy? You're making us look bad, kid. We've been searching for days now.;~;~
~;~;#barryandjerrythird;Barry: Getting schooled by a kid . . . you keep this up and we'll have a problem.;~;~
~;~;#barryandjerry_repeat;Barry: Since you might not know, Mr. Flake owns a store on the left side of town. ;~;~
~;~;#barryandjerry_repeat;Jerry: If you need something, he'll have it. ;~;~
~;~;#barryandjerry_default;Barry: You lost kid?;~;~
