Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirements;Triggers
~;#coins;#already_coin;I hope I made enough wishes! I've used all of the coins in my piggy bank.;~;#spare_change? #grace_intro #found_coin #grace_repeat #coins
~;~;#already_coin;Oh, you have some you can give me?;~;~
~;~;#already_coin;Thank you so much, now I can make more wishes!;~;~
~;~;#already_coin;You're a hero! Everyone will be so happy when we save the world!;~;~
~;~;#grace_intro;I hope I made enough wishes! I've used all of the coins from my piggy bank.;~;#already_coin #already_repeat
~;~;#grace_intro;My name is Grace and I've been throwing all of my money into the well.;~;~
~;~;#grace_intro;I'm wishing for the world not to end.;~;~
~;~;#grace_intro;If I only had a few more coins just to be sure!;~;~
~;~;#grace_intro;There has to be some around the town! I want to do it myself, but I'm not old enough.;~;~
~;~;#grace_intro;Mommy and Daddy won't let explore past the yard, they say it's dangerous . . .;~;~
~;#coins;#found_coin;You found more coins!;~;#spare_change? #grace_repeat #coins
~;~;#found_coin;Thank you so much, now I can make more wishes! Everyone will be so happy when we save the world!;~;~
~;~;#found_coin;A brave adventurer like you probably isn't afraid of anything, huh?;~;~
~;#coins;#found_coin;You found more coins!;~;#spare_change? #grace_repeat #coins
~;~;#found_coin;Thank you so much, now I can make more wishes! Everyone will be so happy when we save the world!;~;~
~;~;#found_coin;A brave adventurer like you probably isn't afraid of anything, huh?;~;~
~;~;#found_coin;I wish I was brave just like you. . .;~;~
~;~;#grace_repeat;Have you found any coins? We're running out of time!;#spare_change?;~
~;~;#grace_repeat;If you find some for me I'll tell you something super secret...;~;~
~;~;#already_repeat;I wish I was brave just like you. . .;~;~
~;~;#after_coin;Hopefully this is enough, thanks! ;~;~
