Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirement;Triggers
~;~;#karen;I expect to see you at my sermon with the others tonight.;~;~
~;~;#karen;What did you say? You're not interested? ;~;~
~;~;#karen;How dare you! You've always been the troublemaker of the group.;~;~
~;~;#karen;Go sit in the time out corner and don't leave until the sermon begins.;~;~
~;~;#karen;Are you acting this way because of the news? The world ending?;~;~
~;~;#karen;Ahahahaha, as if that would make any difference to you. ;~;~
~;~;#karen;Whether you like it or not, you're stuck here and always will be.;~;~
~;~;#karen;I expect to see you sitting in the corner for the rest of the day.;~;~
~;~;#karen2;As long as you live here, you will do as I tell you.;~;~
~;~;#karen2;If you disobey me, you won't see the sun for a week!;~;~
~;~;#karen2;I won't hesitate to board your windows.;~;~
~;~;#karen_repeat;You forgot what I said already?;~;~
