Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirements;Triggers
~;~;#curtis_intro;Hey you, what're you standing around for!?;#gps;~
~;~;#curtis_intro;We're preparing for take off and you think this is the time for dilly dallying!?;~;~
~;~;#curtis_intro;Yes, I'm talking to you! Who else??;~;~
~;~;#curtis_intro;Go get the GPS now! There's not much time!;~;~
~;#gps;#gps_found;You have it? Good work officer, give it here!;~;#ground_control_to_major_tom #gps
~;~;#gps_found;Calculating route . . . Fuel is at full capacity . . . Engine's are stable . . . Ignition sequence start.;~;~
~;~;#gps_found;We are ready for launch. Take off in T-minus 10;~;~
~;~;#gps_found;9 . . .;~;~
~;~;#gps_found;8 . . .;~;~
~;~;#gps_found;7 . . .;~;~
~;~;#gps_found;6 . . .;~;~
~;~;#gps_found;Wait a minute, what's that sound?;~;~
~;~;#gps_found;OH FU-;~;~
~;~;#curtis_repeat;. . .;~;~
