Quest Requirements;Item Requirements;Conversation ID;Dialogue;Repeat Requirements;Triggers
~;~;#snaps_day;What're ya doin' back here again kid? World didn't end so you're back to test my patience, that right?;~;#bug_spray
~;~;#snaps_day;What's that? You're lookin' for something to use against Flake?;~;~
~;~;#snaps_day;He's annoyin' as hell but that's not enough to kill the man. ;~;~
~;~;#snaps_day;HOLD UP, he's the reason why it reeks around here?!;~;~
~;~;#snaps_day;Now that's a GOOD reason right there to cause him some pain.;~;~
~;~;#snaps_day;Pollutin' my land. Who does he think he is! ;~;~
~;~;#snaps_day;Fine, I'll give ya somethin' that washed up a few days ago. Take this bug spray.;~;~
~;~;#snaps_day;Use it right and that bastard will be in the ground where he belongs. ;~;~
~;~;#snaps_day;Since ya gave me this info, I'll let you roam my sewer freely. ;~;~
~;~;#snaps_2;Flake knows good n' well that the sea next to his beach flows directly through my sewer.;~;~
~;~;#snaps_2;That waste he's been dropping has been causin' me all sorts of grief.;~;~
~;~;#snaps_repeat;Only YOU are allowed here. If ya bring someone else, I'll show ya the reason they call me snaps.  ;~;~
